Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
47,male,1,own,nan,little,4084,46,car,good
54,female,1,own,little,little,8974,40,domestic appliances,bad
40,male,3,rent,nan,little,7509,28,car,good
56,male,2,rent,rich,moderate,19609,27,car,good
62,female,0,own,moderate,little,19727,37,business,bad
32,female,2,rent,little,little,3113,15,education,good
60,female,2,rent,rich,little,19067,45,furniture,good
46,female,2,own,little,little,18557,15,business,good
53,female,0,own,little,rich,11566,32,radio/TV,bad
30,male,1,own,little,little,890,23,car,good
49,female,0,own,moderate,little,1734,6,education,good
24,female,2,rent,little,little,4042,64,furniture,bad
68,female,2,own,nan,little,18559,25,business,good
39,male,1,free,little,little,10321,20,business,good
45,female,1,rent,rich,moderate,1581,5,furniture,good
19,female,0,own,little,moderate,5702,10,car,bad
59,female,0,rent,little,little,16145,17,business,bad
62,male,3,own,little,little,18774,7,furniture,bad
74,female,0,own,nan,nan,7825,48,furniture,good
70,female,0,rent,little,rich,1893,66,car,bad
23,female,3,own,quite rich,little,7109,13,education,good
45,male,1,own,little,little,3960,48,car,bad
45,male,2,rent,rich,little,10237,47,furniture,good
61,male,0,rent,little,moderate,13870,58,domestic appliances,bad
61,male,1,own,little,nan,19386,21,car,good
37,female,1,own,moderate,moderate,16026,14,car,good
47,female,2,own,little,little,6443,57,radio/TV,bad
28,male,0,rent,moderate,moderate,8680,4,education,good
72,male,1,own,little,nan,7652,56,radio/TV,bad
45,female,2,free,quite rich,little,568,36,furniture,good
42,female,1,rent,moderate,nan,9003,10,furniture,good
56,male,1,rent,little,moderate,5462,28,car,good
50,male,0,free,quite rich,little,10819,52,furniture,bad
18,male,0,free,little,little,16029,7,business,bad
74,male,2,own,moderate,little,14037,27,radio/TV,good
44,female,2,own,moderate,moderate,12480,49,domestic appliances,good
74,male,3,rent,nan,moderate,19293,15,car,good
69,male,2,free,little,little,15608,65,furniture,bad
30,female,1,rent,moderate,little,1757,65,education,good
58,female,2,own,little,nan,7339,65,car,good
20,female,0,rent,moderate,little,13986,61,car,bad
56,female,1,own,moderate,little,2270,41,car,good
23,female,1,free,little,little,16575,71,domestic appliances,bad
25,male,0,own,moderate,little,16788,20,car,bad
44,male,2,free,moderate,nan,7628,13,vacation/others,good
26,male,1,own,moderate,little,18238,46,furniture,bad
54,female,1,free,little,little,10126,36,vacation/others,bad
50,male,1,own,little,moderate,19170,40,car,bad
68,female,1,rent,little,moderate,9721,31,radio/TV,good
59,male,0,free,little,little,12593,49,education,bad
61,male,2,rent,little,little,19533,5,radio/TV,bad
41,female,1,rent,moderate,little,1118,49,radio/TV,good
32,female,2,own,moderate,rich,3263,41,radio/TV,good
71,male,0,own,little,moderate,19944,41,car,bad
49,male,1,rent,quite rich,nan,932,24,radio/TV,good
49,male,2,own,nan,little,10705,26,radio/TV,good
41,male,2,rent,little,little,1711,36,furniture,good
58,male,1,rent,little,moderate,16779,46,radio/TV,bad
69,female,2,own,moderate,little,18608,71,furniture,bad
66,female,3,own,little,moderate,5877,67,business,good
66,female,3,own,quite rich,little,2070,67,car,good
69,female,2,own,little,little,7212,40,car,bad
29,male,2,free,little,moderate,9046,26,radio/TV,good
56,male,1,rent,little,little,1856,37,vacation/others,good
19,female,2,own,little,rich,18181,37,furniture,bad
20,male,1,own,little,nan,7223,30,car,good
66,female,3,rent,little,moderate,3022,7,furniture,good
54,male,0,own,little,little,18621,66,radio/TV,bad
66,male,1,own,moderate,rich,9827,17,repairs,good
73,male,1,own,little,little,19530,69,car,bad
34,female,1,rent,rich,little,10261,31,repairs,good
66,female,1,own,little,moderate,7225,24,repairs,good
19,female,1,own,little,moderate,11096,13,radio/TV,bad
19,female,2,free,little,rich,10561,29,car,bad
45,male,2,own,quite rich,nan,9387,38,radio/TV,good
71,male,1,rent,moderate,rich,9747,37,business,good
40,male,2,own,little,nan,6832,5,furniture,good
54,male,1,own,little,little,12236,46,repairs,bad
49,female,0,own,nan,little,11764,47,car,bad
50,male,2,own,rich,little,1600,47,furniture,good
18,male,2,own,little,moderate,13162,46,vacation/others,bad
36,male,1,own,moderate,moderate,16262,55,radio/TV,good
19,female,1,own,moderate,moderate,12875,8,radio/TV,good
70,female,1,own,little,rich,8235,22,car,good
61,female,1,rent,quite rich,little,16249,33,domestic appliances,bad
43,male,0,rent,quite rich,little,13645,52,furniture,bad
49,female,3,rent,moderate,little,7530,66,business,good
23,male,2,own,rich,nan,19664,32,business,good
49,male,2,free,moderate,little,17309,56,car,bad
72,male,1,own,little,nan,618,31,radio/TV,good
21,female,2,own,little,nan,7020,56,furniture,good
72,female,1,own,moderate,little,9645,20,car,good
28,male,1,rent,little,rich,3610,27,car,good
73,male,0,rent,moderate,little,18105,68,car,bad
34,female,2,rent,little,little,17982,39,education,bad
55,female,3,own,little,little,19650,35,business,good
41,female,0,rent,rich,nan,17303,29,radio/TV,good
22,male,0,own,nan,little,5977,59,radio/TV,bad
69,male,1,own,moderate,little,17888,70,car,bad
51,male,2,own,moderate,moderate,12861,36,education,good
23,female,1,own,quite rich,little,2258,42,radio/TV,good
39,female,1,own,moderate,moderate,17460,61,domestic appliances,good
28,female,2,rent,little,nan,18945,15,education,good
65,male,1,own,moderate,little,8990,46,car,good
33,male,0,own,moderate,little,1884,16,business,good
50,female,0,own,little,little,8158,8,car,bad
26,male,2,free,little,rich,13873,48,business,bad
23,female,1,own,quite rich,little,15798,8,vacation/others,good
33,male,3,own,little,little,10554,26,radio/TV,bad
46,female,2,own,little,rich,4969,38,car,good
20,male,0,rent,little,little,4698,57,car,bad
37,male,1,own,little,moderate,15530,52,car,bad
53,female,1,own,rich,rich,1257,40,radio/TV,good
36,female,0,own,moderate,little,13698,25,business,bad
43,female,3,own,rich,little,17644,11,domestic appliances,good
20,female,2,own,moderate,little,11215,60,education,bad
36,female,1,rent,moderate,moderate,7914,63,car,good
37,male,1,free,moderate,little,19434,58,vacation/others,good
49,female,0,free,little,moderate,14158,37,education,bad
24,female,1,rent,moderate,little,13999,44,furniture,bad
69,female,1,own,moderate,little,5307,31,business,good
58,male,1,rent,nan,little,4711,34,radio/TV,good
50,female,3,rent,rich,little,3402,24,radio/TV,good
57,female,0,rent,little,little,3380,54,vacation/others,bad
56,female,1,own,little,little,16119,39,business,bad
35,male,2,own,moderate,rich,12875,29,car,good
57,male,1,free,little,little,5784,22,car,good
18,female,0,free,little,nan,4719,9,car,bad
28,male,1,own,little,little,3630,51,radio/TV,good
45,female,1,free,little,little,1880,18,furniture,good
74,male,3,rent,moderate,nan,9587,52,radio/TV,good
42,female,3,own,moderate,little,10836,21,car,good
67,male,3,own,nan,moderate,285,68,car,good
40,female,2,own,little,little,17358,25,business,good
48,female,1,own,little,little,19140,63,business,bad
47,male,3,free,moderate,moderate,3547,39,furniture,good
59,female,3,own,little,little,1140,13,furniture,good
52,female,1,rent,nan,moderate,11291,23,domestic appliances,good
24,female,1,rent,little,moderate,1650,64,car,good
33,female,1,own,nan,little,13749,62,furniture,bad
43,male,0,own,moderate,rich,8169,25,business,good
65,female,0,rent,rich,little,4351,71,radio/TV,bad
74,male,3,own,moderate,little,7821,7,car,good
69,male,3,rent,nan,nan,19294,32,car,good
66,male,0,own,moderate,little,12846,61,car,bad
19,male,1,own,moderate,rich,11447,61,education,good
18,female,2,own,moderate,moderate,15050,57,radio/TV,good
65,female,2,own,quite rich,moderate,3999,31,car,good
29,male,1,own,rich,moderate,7355,42,car,good
22,female,2,free,little,little,13868,60,education,bad
54,male,2,own,little,moderate,4953,67,furniture,good
49,female,3,free,little,nan,16465,33,vacation/others,good
72,female,1,free,little,little,850,53,furniture,bad
26,female,0,free,rich,little,13808,57,furniture,bad
58,male,3,own,little,little,10001,26,furniture,bad
52,male,0,rent,moderate,little,15429,21,business,bad
36,female,2,own,moderate,moderate,5207,57,radio/TV,good
65,male,0,own,rich,moderate,14828,31,domestic appliances,bad
33,male,1,rent,moderate,little,10481,11,furniture,good
20,female,1,own,little,moderate,4826,35,radio/TV,good
37,male,0,free,nan,little,12232,9,car,bad
41,female,3,rent,little,little,6262,43,radio/TV,bad
71,female,0,own,quite rich,rich,8190,54,car,good
73,female,2,own,little,little,18024,50,car,bad
50,male,2,rent,little,little,7776,71,vacation/others,bad
41,female,1,own,rich,little,4536,10,radio/TV,good
69,female,2,rent,quite rich,moderate,14197,30,domestic appliances,good
28,male,1,own,little,little,18591,69,car,bad
66,male,2,own,moderate,rich,19722,57,furniture,bad
25,male,1,own,moderate,nan,13784,17,domestic appliances,good
53,male,1,own,little,moderate,5439,25,furniture,good
55,female,1,own,quite rich,little,2077,59,car,good
57,male,2,own,quite rich,rich,10881,63,radio/TV,good
37,male,3,own,rich,nan,2255,54,radio/TV,good
52,male,0,rent,moderate,moderate,17795,19,vacation/others,good
65,male,1,rent,moderate,little,6840,9,furniture,good
42,female,1,own,moderate,little,417,4,vacation/others,good
52,male,2,rent,little,little,15355,15,repairs,good
42,female,0,rent,moderate,little,13837,27,furniture,bad
46,male,2,own,nan,little,10442,46,repairs,good
35,female,0,own,little,nan,8730,37,education,bad
63,female,1,own,little,moderate,17671,60,domestic appliances,bad
35,male,2,own,moderate,little,6448,24,domestic appliances,good
19,female,2,own,little,little,11806,43,car,bad
71,male,2,own,rich,little,10573,36,domestic appliances,bad
52,female,1,own,little,moderate,12906,36,radio/TV,good
33,female,2,rent,quite rich,little,4223,31,radio/TV,good
58,female,1,own,little,little,9626,68,furniture,good
53,male,3,rent,little,little,13433,49,radio/TV,bad
50,female,1,rent,rich,moderate,10795,36,car,good
21,male,1,own,moderate,little,12109,69,furniture,bad
50,female,1,free,little,moderate,13247,39,radio/TV,bad
31,female,1,own,little,rich,449,57,car,good
38,female,0,free,little,moderate,16588,53,education,bad
65,female,2,own,little,little,16812,54,business,bad
37,female,2,own,moderate,nan,1974,55,car,good
73,female,3,rent,moderate,little,1429,24,radio/TV,good
25,male,0,free,little,little,17501,33,radio/TV,bad
24,male,1,own,little,nan,15781,18,business,good
20,male,2,rent,moderate,rich,1227,12,education,good
34,female,1,rent,little,little,13957,35,radio/TV,bad
50,male,1,own,moderate,nan,13772,26,furniture,good
65,female,2,own,moderate,little,9107,30,vacation/others,good
29,male,1,own,little,rich,10514,45,radio/TV,good
68,male,0,own,little,little,10965,11,furniture,bad
39,female,2,rent,little,little,17416,14,vacation/others,good
72,female,0,free,moderate,little,4547,24,car,bad
39,male,2,rent,moderate,rich,8288,47,car,good
63,male,0,free,moderate,rich,6982,42,vacation/others,good
47,male,2,own,nan,nan,13409,36,education,good
55,male,0,own,moderate,moderate,3800,70,radio/TV,good
55,female,2,rent,quite rich,moderate,5840,58,car,good
62,male,0,rent,little,little,5335,16,furniture,bad
68,female,2,own,little,little,10924,39,furniture,bad
71,female,1,own,little,little,12515,29,radio/TV,bad
25,male,0,rent,moderate,rich,16397,41,furniture,bad
44,female,2,own,little,rich,17593,26,furniture,good
44,male,1,own,moderate,little,9005,11,vacation/others,good
51,female,0,rent,moderate,moderate,17358,17,vacation/others,good
38,female,0,free,little,rich,7471,27,car,good
47,male,1,rent,moderate,little,8688,43,car,good
50,female,0,rent,little,moderate,19262,28,repairs,bad
45,female,0,own,moderate,little,14080,28,furniture,bad
64,male,1,rent,quite rich,nan,16507,20,radio/TV,good
50,female,2,own,quite rich,little,17881,7,business,good
22,female,1,free,little,little,15166,44,radio/TV,bad
65,male,0,own,little,little,19028,63,car,bad
36,male,3,rent,moderate,rich,17861,46,business,good
21,female,2,rent,little,little,9074,57,business,bad
52,female,1,own,nan,moderate,6685,55,car,good
66,female,0,free,little,moderate,12791,24,domestic appliances,bad
34,male,3,own,nan,little,6392,27,domestic appliances,good
61,female,1,own,nan,little,9100,40,car,good
45,female,1,own,little,little,17757,47,car,bad
47,female,1,rent,little,little,12994,8,furniture,bad
46,female,2,rent,quite rich,nan,6550,64,domestic appliances,good
63,female,0,own,little,moderate,9325,47,radio/TV,bad
70,female,2,own,moderate,rich,9138,9,car,good
23,male,2,free,little,little,12866,6,car,bad
52,male,1,own,little,little,13867,68,furniture,bad
58,female,2,rent,little,little,9156,34,vacation/others,good
54,female,0,rent,little,little,4239,58,domestic appliances,bad
41,male,1,rent,moderate,rich,16875,48,radio/TV,good
46,male,1,own,nan,moderate,18861,58,business,good
66,male,1,own,little,little,11447,63,furniture,bad
63,female,1,free,moderate,rich,9781,34,radio/TV,good
70,female,1,own,moderate,little,10185,42,domestic appliances,bad
48,female,0,own,little,nan,7664,51,furniture,bad
52,female,1,own,moderate,little,16128,30,business,good
50,male,1,free,quite rich,nan,11120,19,radio/TV,good
69,male,2,rent,little,rich,16509,55,radio/TV,bad
38,male,0,own,quite rich,little,16356,7,car,bad
49,male,2,rent,quite rich,moderate,5650,45,domestic appliances,good
40,female,1,own,little,rich,18075,57,business,bad
50,female,0,free,moderate,little,856,12,car,good
20,male,1,own,little,little,10359,28,radio/TV,bad
35,male,1,rent,moderate,nan,3359,61,education,good
42,male,1,rent,moderate,moderate,16999,21,business,good
59,male,1,own,little,moderate,12918,47,car,bad
48,male,3,rent,quite rich,little,7593,52,radio/TV,good
71,female,3,own,moderate,little,4291,47,car,good
20,female,1,rent,quite rich,rich,9426,41,radio/TV,good
57,male,2,rent,little,little,17758,68,radio/TV,bad
63,male,0,rent,quite rich,nan,8246,13,car,good
41,male,1,own,moderate,moderate,8932,66,car,good
67,female,2,free,quite rich,nan,14778,49,business,good
49,female,1,own,moderate,little,13415,5,business,good
64,female,0,rent,little,little,3894,23,furniture,bad
39,male,0,rent,little,little,4474,6,furniture,bad
40,female,1,free,rich,little,2276,39,business,good
19,male,1,rent,moderate,moderate,270,8,car,good
44,female,1,own,nan,moderate,15804,23,education,good
59,female,1,rent,little,little,15436,6,furniture,bad
19,female,1,own,moderate,little,10939,6,vacation/others,good
43,male,2,own,moderate,little,5268,50,radio/TV,good
34,male,0,free,moderate,little,12005,40,car,bad
57,female,2,own,quite rich,moderate,13189,11,car,good
50,male,2,own,little,little,1703,4,car,good
26,male,2,own,moderate,nan,10913,48,education,good
60,male,2,own,moderate,moderate,10571,13,furniture,good
71,male,1,own,little,rich,13302,71,car,bad
65,male,1,own,moderate,little,18109,46,car,bad
56,male,1,rent,moderate,nan,1185,44,car,good
46,male,3,rent,little,moderate,8676,15,furniture,good
59,female,1,rent,little,little,16668,11,repairs,good
72,male,0,own,quite rich,little,8780,48,radio/TV,bad
43,male,0,rent,little,rich,12469,4,domestic appliances,bad
52,female,3,own,little,little,3775,29,car,good
67,female,0,own,moderate,little,6228,34,furniture,bad
42,female,0,rent,little,little,12125,59,domestic appliances,bad
41,female,1,own,moderate,little,10932,40,radio/TV,good
30,male,3,rent,little,little,12957,7,radio/TV,good
24,female,1,free,rich,moderate,17339,47,radio/TV,bad
74,female,1,own,little,moderate,5097,52,radio/TV,good
53,male,2,own,little,moderate,10782,43,radio/TV,good
62,male,0,own,moderate,little,12744,71,education,bad
37,male,2,own,little,little,9566,13,car,good
18,female,1,rent,quite rich,little,5584,7,education,good
25,male,1,rent,moderate,rich,10041,24,car,good
63,female,2,own,quite rich,little,4780,45,furniture,good
33,male,3,own,little,rich,488,9,business,good
31,male,1,free,rich,little,13055,14,radio/TV,good
29,female,0,own,moderate,moderate,15322,15,vacation/others,good
68,male,2,own,little,moderate,12350,34,car,good
40,male,1,own,little,little,18738,34,repairs,bad
32,male,3,rent,quite rich,moderate,10645,46,radio/TV,good
45,male,3,own,rich,little,4881,61,furniture,good
51,male,0,own,little,moderate,18796,53,business,bad
19,female,3,rent,rich,rich,15189,44,vacation/others,good
49,female,1,rent,quite rich,little,6724,39,business,good
40,male,2,own,little,moderate,4711,47,car,good
39,female,0,own,moderate,little,3815,69,car,good
68,female,2,own,little,little,19567,18,car,bad
42,female,2,own,rich,little,3358,37,domestic appliances,good
39,male,2,own,moderate,little,714,47,business,good
39,male,3,own,moderate,little,10476,36,radio/TV,good
66,male,1,own,rich,moderate,11336,9,education,good
69,female,1,own,little,moderate,3170,43,radio/TV,good
59,female,2,free,rich,rich,17444,9,furniture,good
23,male,2,own,little,moderate,6159,17,education,good
32,male,3,own,quite rich,moderate,6879,8,repairs,good
71,female,3,own,moderate,little,17032,48,education,bad
60,female,1,own,moderate,little,1325,62,domestic appliances,good
54,male,1,rent,moderate,nan,11261,46,car,good
50,female,1,own,rich,little,7848,56,furniture,good
25,female,2,rent,little,little,18496,30,radio/TV,good
70,female,1,own,little,little,17519,51,radio/TV,bad
61,female,2,rent,little,little,14021,28,radio/TV,bad
61,female,0,own,quite rich,nan,19200,11,radio/TV,good
22,female,0,own,moderate,moderate,11682,35,domestic appliances,bad
56,female,1,own,moderate,little,18307,64,domestic appliances,bad
21,male,0,own,rich,nan,5509,4,car,good
23,male,2,own,rich,moderate,6740,34,car,good
62,female,0,own,little,moderate,18325,18,furniture,bad
49,female,0,rent,moderate,little,16375,19,education,bad
69,female,0,own,little,little,907,60,business,bad
47,male,2,own,rich,little,19890,14,furniture,good
64,male,2,own,rich,moderate,9827,21,furniture,good
52,female,0,rent,rich,little,2864,48,car,bad
72,male,2,own,quite rich,rich,14879,23,car,good
57,female,1,own,moderate,little,1021,17,car,good
69,female,1,own,moderate,little,19208,30,furniture,good
33,female,2,rent,little,nan,18830,12,education,good
30,female,0,rent,little,little,15020,16,car,bad
67,female,2,own,nan,little,8183,48,furniture,good
59,female,0,own,moderate,nan,6607,11,radio/TV,good
47,female,3,own,nan,little,18631,59,furniture,bad
36,male,0,own,rich,little,2332,10,furniture,good
34,female,1,own,rich,little,9213,18,radio/TV,good
73,male,3,own,moderate,moderate,16537,59,business,good
36,female,0,own,little,little,6613,59,business,bad
45,female,1,own,little,nan,1413,40,car,good
72,male,1,own,moderate,little,7191,67,furniture,good
43,male,1,own,little,little,5132,20,radio/TV,good
54,female,1,own,little,little,12873,24,radio/TV,bad
43,male,0,own,moderate,little,16535,55,car,bad
70,female,2,rent,rich,little,5306,36,furniture,good
40,female,1,rent,rich,rich,3943,15,car,good
26,male,2,own,little,little,1022,49,furniture,good
29,male,1,own,nan,little,973,60,furniture,good
70,male,1,own,moderate,rich,17852,23,education,good
18,male,1,own,quite rich,little,17339,71,furniture,bad
18,female,1,free,little,little,13604,47,car,bad
64,male,1,own,quite rich,little,9723,33,radio/TV,good
51,male,1,rent,quite rich,little,4787,28,education,good
49,male,1,own,moderate,little,13857,34,car,good
71,male,0,rent,little,little,17244,5,car,bad
65,male,1,rent,rich,little,10173,57,car,bad
42,female,0,rent,nan,little,10094,17,car,bad
57,female,2,own,rich,little,14237,26,repairs,good
62,male,1,rent,little,moderate,8225,55,car,good
70,male,1,own,moderate,rich,13959,53,domestic appliances,good
18,female,1,free,little,moderate,11638,36,furniture,bad
33,male,1,rent,quite rich,little,8286,12,radio/TV,good
56,female,1,own,rich,little,13338,11,furniture,good
22,female,3,free,little,moderate,7564,10,radio/TV,good
39,male,2,rent,nan,moderate,8130,24,radio/TV,good
46,female,2,rent,moderate,moderate,2649,56,furniture,good
